review_text,label_quality,label_price,label_delivery,label_packaging,label_service
"Không có công dụng gì nhiều, reriew cứ thần thánh hoá lên",negative,none,none,none,none
Không có hàng khuyến mại!,none,negative,none,none,none
Kinh nghiệm sử dụng:làm sáng da … mờ thâm nám da Lợi ích:bảo vệ da Bao bì:đẹp  San phẩm tốt chất lượng tốt…sẽ mua ủng hộ cho shop nữa…cảm ông shop rất nhiều lắm luôn đó nha 👍👍👍👍👍👍👍👍👍👍👍👍👍👨👨👨👨👨👨👨👨,positive,none,none,positive,none
Không xử lý hoàn hàng :))),none,none,none,none,negative
"Giao hàng sớm và nhanh, được tặng quà. Dầu gội này kg kiềm dầu, gội xong ngày mai đầu vẫn bết và mượt bình thường, vẫn phải gội lại, kg có cải thiện kiềm dầu.",negative,none,positive,none,positive
Hương vị:ngọt Bao bì/Mẫu mã:ok  Đóng gói sơ sài.. không có chèn chống sốc may mà sản phẩm không bị lủng chảy ra ngoài 3 sao cho chất lượng sữa,neutral,none,none,negative,none
"Đóng gói quá tệ, nhận dc thì nát bươm, hình ảnh chỉ mang tính chất nhận xu",none,none,none,negative,none
"Đóng gói cẩu thả, mở ra đã gãy vòi ntn, dầu đổ cả ra hộp, sẽ không quay lại",negative,none,none,negative,none
"Làm biếng nên không có hình ảnh và video nha mọi người ơi, mua mấy lần rồi mà có lần này shop giao thiếu đồ. Thiếu 1 hộp sữa, thấy buồn ghê á làm hại chán mua luôn",none,none,none,none,negative
"Mua 4 hộp nhưng chỉ bọc kỹ 3 hộp, 1 hộp ko bọc chống sốc nên móp méo hết cả hộp luôn",none,none,none,negative,none
Ghi là đc tặng lọ nhỏ mà ko tặng thì đăng hình tặng ccho vui à,negative,none,none,none,negative
"Độ êm:rat em Chất liệu:mũ khối Màu sắc:kem  Mình nhận được hàng rồi nhé. Mình thấy dép đẹp, mang em chân. Chất lượng tuyệt vời. Cho sop 5 sao nhé!!",positive,none,none,none,positive
"Mua mấy lần trc ko sao. Lần đầu tiên mua phải hộp bị xé mác, ko biết chất lượng sp lần này ntn???",neutral,none,none,negative,none
"Hàng uy tín chất lượng, shop tinh tế có che tên, k có mùi siêu mỏng, cả nhà nên mua trải nghiêm, shop giao hàng nhanh, mình rất hài lòng sẽ mua ủng hộ lâu dài, 1000 điểm cho shop,………………",positive,none,positive,positive,positive
Đóng gói chảy tùm lum chán,none,none,none,negative,none
Làm đẹp:chống nắng Hương thơm:nhẹ Lợi ích:chưa sử dụng  Đã nhận hàng lọ to mà giá rẻ. Đã sử dụng thử thấy không thoáng. Bết dính. Nghe mấy nhận xét tưởng tốt nhg thấy ko ra gì.,negative,positive,none,none,none
"Để quảng cáo có quà tặng 2 tuýp nhỏ, mình mua 2 ống to mà chả cơ tuýp bé nào",none,none,none,none,negative
"Độ tuổi sử dụng:trẻ nhỏ Chất lượng sản phẩm:tốt  chất lượng ok, nên mua, shop uy tín nha mọi người...",positive,none,none,none,positive
Độ mềm:bình thường Màu sắc:xanh than Chất liệu:vải thô  giặt xong chắc mũ không đứng form thêu nhái Nike,negative,none,none,none,none
Viết sản phẩm k rõ ràng,negative,none,none,none,none
Hộp trầy tùm lum như hàng cũ,none,none,none,negative,none
Nghe theo review của các mẹ bỉm sữa nên mua sẵn cho bé sắp sinh. Hy vọng là tốt như quảng cáo,neutral,none,none,none,none
"Tóc mềm mượt:tóc mềm mượt Giảm rụng tóc:hiệu quả giam rụng rõ rệt. Hương thơm:thơm nhẹ nhàng, dễ chịu",positive,none,none,none,none
"Đóng gói k cẩn thận, mua 2 combo nước giặt cho bé, giao đến nơi chống xốc đã bị vỡ, 1 túi bị chảy nước giặt dính ra những túi khác và dính ra cả thùng.",none,none,none,negative,none
"Chất liệu:thun Màu sắc:5 màu Đúng với mô tả:tốt  Quần lót coolmate mặc rất là êm luôn, có độ co giãn tốt, mà chất liệu vải mặc k bị hằn lên da 💯",positive,positive,none,none,positive
lần đầu mua dòng này mấy loại trước mua cũng 3-4 hộp gòi cũng ưng giá cũng rẻ,positive,positive,none,none,none
"Chất lượng:oke, dày dặn ko bị quăn Thiết kế:Thiết kế hologram siêu óng ánh lun  Lần đầu tiên đu tiểu thuyết và gặp được shop chân ái, ahihi🥰",positive,none,none,none,positive
"Đóng hàng chưa tốt, không biết bục do bên vận chuyển hay do đóng hàng ko kỹ. Shipper biết bục nhưng cố tình giao giấu  khi phát hiện gọi ship thái độ ko tốt",none,none,negative,negative,negative
Lúc mua thi có quà. Nhận hàng về tay k thấy quà đâu. Làm ăn chán,none,none,none,none,negative
Đóng gói cẩn thận. Quét mã QR thì bắt tải app. Tải app về thì quét mã nhưng quay liên tục không ra kết quả. Không biết hàng chuẩn không,neutral,none,none,positive,none
Nói quà tặng mà Ko có .,none,none,none,none,negative
Hương vị:ok Bao bì/Mẫu mã:bao bì mẫu mã cũng ok  Uống sữa không đường tốt nên mình mua để uống,positive,none,none,positive,none
Hình ảnh và video feedback chỉ mang tính nhận xu. Số sao mới là đánh giá,none,none,none,none,none
"Mua được sữa với giá hời , hàng chính hãng nen yen tam mua cho con ạ",positive,positive,none,none,none
Mua combo có quà tặng nhưng mua về không có quà,negative,none,none,none,none
Sản phẩm cũng ok mình dùng chai thứ 3 rồi thây cũng ổn áp,positive,none,none,none,none
Chưa sử dụng. Mục khuyến mãi quá nhầm lẫn .nên mua không được tặng,none,negative,none,none,none
"Hương vị:sữa vị thanh nhạt dễ uống Chất lượng:chất lượng sữa ổn định, phù hợp với bé",positive,none,none,none,none
"Giao hàng nhanh, đóng gói sản phẩm chắc chắn đầy đủ. Chất lượng sản phẩm tốt",positive,none,positive,positive,none
Phù hợp với loại da:hopwj voi loai da khoe Mùi hương:mui cafe rất thơm Công dụng:giúp tẩy tế bào chết mịn da mùi hương lưu lại rất thơm,positive,none,none,none,none
"Mùi hương:mùi dừa dễ chịu Chất lượng:đã dùng chai thứ 2, răng miệng sạch , thơm hơn, dễ uống, đã giảm dk 1 chút chút, sẽ mua và ủng hộ shop lâu dài.",positive,none,none,none,positive
Công dụng:rửa Mùi hương:thơm  ok lần đầu tiên sử dụng.mình mua cho ck.sài dc 1 time rồi thấy cũng thơm dịu nhẹ.sẽ ủng hộ lâu dài,positive,none,none,none,none
Giao hàng nhanh chóng. Không có quà tặng như quảng cáo nên so ra giá hơi chát á shop.,none,negative,positive,none,none
Ghi tặng mà về k có hàng tặng,none,none,none,none,negative
hình thấy tặng chai sữa tắm mà mở hàng ko thấy chai sữa tắm nào hết :(,none,none,none,none,negative
"Kem ủ làm mềm tóc, nhìn bóng hơn mượt hơn. Shop hỗ trợ khách nhiệt tình",positive,none,none,none,positive
"Công dụng:gội đầu Mùi hương:thảo mộc Dành cho tóc:mọi loại tóc  Giao hàng nhanh , chưa gội nên chưa biết sao",neutral,none,positive,none,none
"Đóng gói chán quá, móp hết cả",none,none,none,negative,none
Mùi hương:hương thơm  Hàng của shop mall hi vọng là Hàng chính hãng. Đóng gói cẩn thận,positive,none,none,positive,none
Bao bì/Mẫu mã:ii Công dụng:ii  giao hàng nhanh lắm luôn á hàng đẹp gió kh mạnh lắm dễ bị quấn tóc nên thử nhé mn,positive,none,positive,none,none
